Change Physical Footprint: Designator=A9 Old Footprint=TI_HELICAL New Footprint=TI_HELICAL
Change Physical Footprint: Designator=AE1 Old Footprint=GPS_ANT_NO_KO New Footprint=GPS_ANT_NO_KO
Change Physical Footprint: Designator=C1 Old Footprint=PI_NET_CAPACITOR_0402 New Footprint=PI_NET_CAPACITOR_0402
Change Physical Footprint: Designator=C2 Old Footprint=PI_NET_CAPACITOR_0402 New Footprint=PI_NET_CAPACITOR_0402
Change Physical Footprint: Designator=C3 Old Footprint=PI_NET_CAPACITOR_0402 New Footprint=PI_NET_CAPACITOR_0402
Change Physical Footprint: Designator=C4 Old Footprint=PI_NET_CAPACITOR_0402 New Footprint=PI_NET_CAPACITOR_0402
Change Physical Footprint: Designator=C5 Old Footprint=PI_NET_CAPACITOR_0402 New Footprint=PI_NET_CAPACITOR_0402
Change Physical Footprint: Designator=C6 Old Footprint=PI_NET_CAPACITOR_0402 New Footprint=PI_NET_CAPACITOR_0402
Change Physical Footprint: Designator=C7 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=C8 Old Footprint=RCL_M0805 New Footprint=RCL_M0805
Change Physical Footprint: Designator=C9 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=C10 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=C11 Old Footprint=RCL_M0805 New Footprint=RCL_M0805
Change Physical Footprint: Designator=C12 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=C13 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=C14 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=C15 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=C16 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=C17 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=C18 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=D1 Old Footprint=FP-LTST-C191TBKT-MFG New Footprint=FP-LTST-C191TBKT-MFG
Change Physical Footprint: Designator=D2 Old Footprint=FP-LTST-C191TBKT-MFG New Footprint=FP-LTST-C191TBKT-MFG
Change Physical Footprint: Designator=L1 Old Footprint=ASPI-0315FS_ASPI-0315FS - The_real_one New Footprint=ASPI-0315FS_ASPI-0315FS - The_real_one
Change Physical Footprint: Designator=P1 Old Footprint=HRS-U.FL-R-SMT-3_V New Footprint=HRS-U.FL-R-SMT-3_V
Change Physical Footprint: Designator=P2 Old Footprint=HRS-U.FL-R-SMT-3_V New Footprint=HRS-U.FL-R-SMT-3_V
Change Physical Footprint: Designator=P3 Old Footprint=HRS-U.FL-R-SMT-3_V New Footprint=HRS-U.FL-R-SMT-3_V
Change Physical Footprint: Designator=P4 Old Footprint=HRS-U.FL-R-SMT-3_V New Footprint=HRS-U.FL-R-SMT-3_V
Change Physical Footprint: Designator=P5 Old Footprint=HRS-U.FL-R-SMT-3_V New Footprint=HRS-U.FL-R-SMT-3_V
Change Physical Footprint: Designator=P6 Old Footprint=8pinhead Slightly wider New Footprint=8pinhead Slightly wider
Change Physical Footprint: Designator=R1 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R2 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R3 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R4 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R5 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R6 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R7 Old Footprint=RCL_M0805 New Footprint=RCL_M0805
Change Physical Footprint: Designator=R8 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R9 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R10 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R11 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R12 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R13 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R14 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R15 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R16 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R17 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R18 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=SW1 Old Footprint=FP-JS102011SAQN-MFG New Footprint=FP-JS102011SAQN-MFG
Change Physical Footprint: Designator=U1 Old Footprint=MODULE28P-1-25-12X12X2-5MM New Footprint=MODULE28P-1-25-12X12X2-5MM
Change Physical Footprint: Designator=U2 Old Footprint=FP-MAX-M10S-00B-MFG - duplicate New Footprint=FP-MAX-M10S-00B-MFG - duplicate
Change Physical Footprint: Designator=U3 Old Footprint=QFN28_BNO086_CEV New Footprint=QFN28_BNO086_CEV
Change Physical Footprint: Designator=U4 Old Footprint=L6920DBTR New Footprint=L6920DBTR
Change Physical Footprint: Designator=U5 Old Footprint=FP-BME280-MFG New Footprint=FP-BME280-MFG
Change Physical Footprint: Designator=U6 Old Footprint=SOIC_150MIL_WIN New Footprint=SOIC_150MIL_WIN
Change Physical Footprint: Designator=Y1 Old Footprint=XTAL_9HT10_TXC New Footprint=XTAL_9HT10_TXC
